# ─────────────────────────────────────────────────────────────────────────────
# CASTLESEC — TSV NODE MAP v3 (Updated to match FULL ASCII MAP v3 + physical F4)
# Copy into Notepad. Tabs between columns.
# Columns:
# Phase | NodeID | Name | Type | Actions | Tools/Findings on ground | Task | Artifacts used here | Requires/Gates | Links
# Type: HUB|PATH|SAFE|DE|CONTROL|GATE|TASK|EVENT|PANEL|SERVER|R
# Actions (examples): NAV,LOOK,PICK,TASK(flag),PRESENT(item),SCANPATH,PASSIVE,PANEL,REPEAT,HISTORY,TERMINAL
# Tools (9): DevTools Lens, Scope Compass, Spider Thread, Passive Scanner Lantern,
#           Intercept Gauntlet, Repeater Sigil, History Scroll, File Lantern, Process Watch
# ─────────────────────────────────────────────────────────────────────────────
Phase	NodeID	Name	Type	Actions	Tools/Findings on ground	Task	Artifacts used here	Requires/Gates	Links
F1	F1-14	Shadow Lane / Тіньовий провулок	HUB	NAV,LOOK,PRESENT(item)	—	—	{Use: Blueprint (T1)} reveals Archive Door; {Use: Blueprint} -> Sewer Hatch shortcut	Optional	(F1-13,F1-15,F1-19,F1-32)
F1	F1-15	Archive Door / Двері до Архіву	GATE	NAV,LOOK	—	—	—	{Req: Blueprint (T1)} (appears/unlocks)	(F1-14,F1-16)
F1	F1-16	Archive Hall / Архів	TASK	NAV,LOOK,TASK(flag)	—	T2 Git Leakage (Flag)	—	Optional	(F1-15,F1-17,F1-18)
F1	F1-17	Commit Echo / Ехо комітів	DE	NAV,LOOK	—	—	—	—	(F1-16)
F1	F1-18	Dusty Room / Пильна кімната	DE	NAV,LOOK	—	—	—	—	(F1-16)
F1	F1-19	Architect District / Квартал архітекторів	HUB	NAV,LOOK	—	—	—	—	(F1-14,F1-20,F1-23,F1-24,F1-29)
F1	F1-20	Architect Reception / Приймальня	PANEL	NAV,LOOK,PICK,PASSIVE	Tool: Passive Scanner Lantern	—	—	—	(F1-19,F1-21,F1-23)
F1	F1-21	Monitoring Panel / Панель моніторингу	TASK	NAV,LOOK,PASSIVE,TASK(flag)	—	T4 Env Vars Leak (Flag)	—	Optional	(F1-20,F1-22)
F1	F1-22	Server Closet / Серверна комірка	DE	NAV,LOOK	—	—	—	—	(F1-21)
F1	F1-23	Garden Walk / Тиха стежка	SAFE	NAV,LOOK	—	—	—	—	(F1-19,F1-20,F1-24)
F1	F1-24	Bridge to Garrison / Міст до Гарнізону	GATE	NAV,LOOK	—	—	—	Region transition to F2	(F1-19,F1-23,F1-29,F1-32,F2-01)
F1	F1-25	City Map Stand / Міська мапа	R	NAV,LOOK	—	—	{Use: Scope toggle} reduces noise	—	(F1-01,F1-04,F1-27,F1-31)
F1	F1-26	Street of Flyers / Афіші	R	NAV,LOOK,SCANPATH	—	—	{Use: Spider Thread} highlights “trails”	—	(F1-04,F1-25,F1-08)
F1	F1-27	Fountain Square / Фонтанна площа	SAFE	NAV,LOOK	—	—	—	—	(F1-08,F1-25)
F1	F1-28	Print Shop / Друкарня	R	NAV,LOOK	—	—	—	—	(F1-04,F1-19)
F1	F1-29	Tram Stop / Трамвай (петля)	PATH	NAV,LOOK	—	—	—	Loop connector	(F1-08,F1-19,F1-24)
F1	F1-30	Abandoned Kiosk / Покинутий кіоск	DE	NAV,LOOK	—	—	—	Lore: hints about garrison inspector bench	(F1-01)
F1	F1-31	Scope Calibration / Калібрування скоупу	DE	NAV,LOOK	—	—	{Use: Scope Compass} tutorial node	—	(F1-25)
F1	F1-32	Shadow Sewer Hatch / Тіньовий люк	GATE	NAV,LOOK,PRESENT(item)	—	—	{Req: Blueprint (T1)} for shortcut to Bridge (alt route exists)	Optional	(F1-14,F1-24)

# ───────────────────────────── F2 — GARISSON (Auth/Network) ──────────────────
F2	F2-01	Outer Yard / Зовнішній двір (Хаб)	HUB	NAV,LOOK	—	—	—	—	(F1-24,F2-02,F2-03,F2-06,F2-10,F2-16,F2-21)
F2	F2-02	Inspection Bench / Стіл перевірок	PANEL	NAV,LOOK,PICK,PANEL,REPEAT	Tool: Intercept Gauntlet; Tool: Repeater Sigil	—	—	—	(F2-01)
F2	F2-03	Patrol Route / Маршрут патруля	PATH	NAV,LOOK	—	—	—	—	(F2-01,F2-15)
F2	F2-15	Watch Post / Пост спостереження	EVENT	NAV,LOOK	—	—	—	Optional risk loop	(F2-03,F2-16)
F2	F2-16	Main Junction / Головна розвилка (Хаб)	HUB	NAV,LOOK	—	—	—	—	(F2-15,F2-17,F2-05,F2-32,F2-25,F2-04,F2-01,F2-23)
F2	F2-17	Colonel Corridor / Коридор полковника	PATH	NAV,LOOK	—	—	—	—	(F2-16,F2-18,F2-19)
F2	F2-18	Colonel Office Gate / Вхід до кабінету	TASK	NAV,LOOK,TASK(flag)	—	T7 SQL Auth Bypass (Flag)	—	(*) Mandatory	(F2-17,F2-19)
F2	F2-19	Colonel Office / Кабінет	HUB	NAV,LOOK	—	—	—	Unlocked after T7	(F2-17,F2-18,F2-20)
F2	F2-20	Colonel Safe / Сейф полковника	TASK	NAV,LOOK,TASK(flag)	—	T8 SQL UNION (Flag)	—	Optional (big helper)	(F2-19)
F2	F2-23	Inner Gate / Внутрішні ворота	GATE	NAV,LOOK,PRESENT(item)	—	—	Present: Epaulets (T7)	{Req: Epaulets (T7)*}	(F2-16,F2-24)
F2	F2-24	Inner Stairs / Внутрішні сходи	PATH	NAV,LOOK	—	—	—	Region transition to F3	(F2-23,F3-01)
F2	F2-05	Service Turnstile / Службовий турнікет	CONTROL	NAV,LOOK,PRESENT(item)	—	—	{Use: SECRET_KEY (T4)} -> signed shortcut	Optional payoff	(F2-16,F2-27,F2-21)
F2	F2-27	Pass Forge / Ковальня перепусток	CONTROL	NAV,LOOK,PRESENT(item)	—	—	{Use: SECRET_KEY (T4)} -> service shortcut	Optional payoff	(F2-05,F2-16)
F2	F2-32	Quiet Chapel / Тиха каплиця	SAFE	NAV,LOOK	—	—	—	—	(F2-16,F2-11,F2-04,F2-01)
F2	F2-04	Guardhouse / Вартівня	PATH	NAV,LOOK,PASSIVE	—	—	—	—	(F2-16,F2-26,F2-32)
F2	F2-26	Records Room / Кімната реєстрів	CONTROL	NAV,LOOK,PRESENT(item)	—	—	{Use: Guard Uniform (T6)} -> staff notes	Optional payoff	(F2-04)
F2	F2-06	Mail Gate / Поштові ворота	CONTROL	NAV,LOOK	—	—	—	—	(F2-01,F2-07,F2-08,F2-25)
F2	F2-07	Session Kiosk / Сесійний термінал	CONTROL	NAV,LOOK,PRESENT(item)	—	—	{Use: Mirror Shard (T3)} -> Session Sigil	Req: Mirror Shard for Sigil	(F2-06)
F2	F2-08	Mail Sorting / Сортування пошти	TASK	NAV,LOOK,TASK(flag)	—	T5 IDOR (Flag)	—	Optional	(F2-06,F2-09,F2-29)
F2	F2-29	Mail Backroom / Підсобка пошти	DE	NAV,LOOK	—	—	—	Lore deadend	(F2-08)
F2	F2-09	Parcel Vault / Сховище посилок	GATE	NAV,LOOK,PRESENT(item)	—	—	{Req: Courier Seal (T5) OR Session Sigil}	Alt route exists	(F2-08,F2-21,F2-30)
F2	F2-30	Parcel Slip Desk / Стіл накладних	R	NAV,LOOK,PRESENT(item)	—	—	{Use: Courier Seal (T5)} -> dispatch hints	Optional payoff	(F2-09,F2-21)
F2	F2-10	Barracks / Казарми (Хаб)	HUB	NAV,LOOK,PICK,HISTORY	Tool: History Scroll	—	—	—	(F2-01,F2-11,F2-12,F2-14,F2-28)
F2	F2-11	Canteen / Їдальня	SAFE	NAV,LOOK	—	—	—	—	(F2-10,F2-32)
F2	F2-12	Training Yard / Плац	DE	NAV,LOOK	—	—	—	—	(F2-10,F2-13)
F2	F2-13	Service Alley / Службовий провулок	PATH	NAV,LOOK	—	—	—	—	(F2-12,F2-14)
F2	F2-14	Back Door / Чорний хід	TASK	NAV,LOOK,TASK(flag)	—	T6 RateLimit/Brute (Flag)	—	Optional	(F2-10,F2-13)
F2	F2-21	Dispatch Office / Відправка караванів	CONTROL	NAV,LOOK,PRESENT(item),HISTORY	—	—	{Use: Courier Seal (T5)} manifests; {Use: Rusty Token (T2)} service hints	Optional payoff	(F2-01,F2-22,F2-28,F2-09,F3-18,F3-03)
F2	F2-22	Service Panel / Сервісна панель	CONTROL	NAV,LOOK,PRESENT(item),PANEL	—	—	{Use: Rusty Token (T2)} -> internal log view	Optional payoff	(F2-21)
F2	F2-28	Staff Tunnel / Тунель персоналу	PATH	NAV,LOOK	—	—	—	Loop connector	(F2-10,F2-21)
F2	F2-25	Camera Hall / Коридор камер	EVENT	NAV,LOOK	—	—	—	Optional risky connector	(F2-06,F2-16)

# ───────────────────────────── F3 — INNER COURTYARD / CARAVANS ───────────────
F3	F3-01	Inner Courtyard / Внутрішній двір (Хаб)	HUB	NAV,LOOK	—	—	—	—	(F2-24,F3-18,F3-05,F3-12,F3-16)
F3	F3-18	Caravan Yard / Двір караванів (Хаб)	HUB	NAV,LOOK,HISTORY	—	—	—	—	(F3-01,F3-02,F3-19,F3-20,F3-17,F3-24)
F3	F3-02	Route Board / Дошка маршрутів	R	NAV,LOOK,HISTORY,REPEAT	—	—	—	Use: History/Repeat learning	(F3-18,F3-03)
F3	F3-03	Manifest Desk / Маніфести	R	NAV,LOOK,HISTORY,PRESENT(item)	—	—	{Use: Courier Seal (T5)} richer manifests	Optional payoff	(F3-02,F3-18)
F3	F3-19	JSON Shrine / Святилище маніфестів	R	NAV,LOOK	—	—	—	Lore node	(F3-18)
F3	F3-20	Checkpoint Arch / Контрольна арка	CONTROL	NAV,LOOK,PRESENT(item)	—	—	{Use: Seal (T5) OR Epaulets (T7)} clean pass	Optional payoff	(F3-18,F3-17,F3-24)
F3	F3-17	Castle Gatehouse / Брама замку	GATE	NAV,LOOK	—	—	—	Transition to F4	(F3-18,F3-20,F3-23,F4-01)
F3	F3-24	Side Gate / Бічна брама	GATE	NAV,LOOK,PRESENT(item)	—	—	{Use: Epaulets (T7)} alt entry	Optional payoff	(F3-18,F3-20,F4-01)
F3	F3-05	Library Foyer / Вхід до бібліотеки	PATH	NAV,LOOK	—	—	—	—	(F3-01,F3-06,F3-07)
F3	F3-06	Librarian Note / Нотатка бібліотекаря	R	NAV,LOOK	—	—	—	Hints	(F3-05)
F3	F3-07	Library Hall / Бібліотека	TASK	NAV,LOOK,TASK(flag)	—	T9 Path Traversal (Flag)	—	Optional	(F3-05,F3-08,F3-09)
F3	F3-08	Reading Nook / Куточок читання	DE	NAV,LOOK	—	—	—	—	(F3-07)
F3	F3-09	Forbidden Stairs / Заборонені сходи	EVENT	NAV,LOOK	—	—	—	Optional risk	(F3-07,F3-10)
F3	F3-10	Maintenance Corridor / Техкоридор	PATH	NAV,LOOK	—	—	—	—	(F3-09,F3-11)
F3	F3-11	Service Annex / Службова ніша	DE	NAV,LOOK	—	—	—	—	(F3-10)
F3	F3-12	Tower Base / Основа вежі	PATH	NAV,LOOK	—	—	—	—	(F3-01,F3-13,F3-14)
F3	F3-13	Signal Tower / Сигнальна вежа	TASK	NAV,LOOK,TASK(flag)	—	T10 Command Injection (Flag)	—	Optional	(F3-12)
F3	F3-14	Bell Room / Дзвіниця	DE	NAV,LOOK	—	—	—	—	(F3-12)
F3	F3-16	Garden Walk / Садова стежка	SAFE	NAV,LOOK	—	—	—	—	(F3-01,F3-15,F3-23)
F3	F3-15	Wind Diagram / Схема вітру	R	NAV,LOOK	—	—	—	Hints	(F3-16)
F3	F3-23	Vent Crawlspace / Лаз вентиляції	DE	NAV,LOOK	—	—	—	Secret loop to gatehouse	(F3-16,F3-17)

# ───────────────────────────── F4 — CASTLE (Physical building) ───────────────
F4	F4-01	Castle Entry Hall / Вхідний хол	HUB	NAV,LOOK	—	—	—	Arrive from F3	(F3-17,F3-24,F4-02)
F4	F4-02	Chancery Lobby / Лобі канцелярії	HUB	NAV,LOOK,PASSIVE	—	—	—	Public spine	(F4-01,F4-07,F4-03,F4-04,F4-54)
F4	F4-03	Intake Desk / Стіл прийому	TASK	NAV,LOOK,TASK(flag)	—	T11 RCE via Upload (Flag)	—	(*) Mandatory	(F4-02,F4-06)
F4	F4-06	Black Mirror Interface / Чорне Дзеркало	SERVER	LOOK,TERMINAL	—	—	Use: Artifact T11 Black Mirror enables TERMINAL mode	Req: T11 completed	(F4-03,F4-50)
F4	F4-50	Terminal Sandbox / Безпечна зона терміналу	SERVER	LOOK,TERMINAL	—	—	—	Available after T11	(F4-06)
F4	F4-54	Hall of Petitions / Зала петицій	PATH	NAV,LOOK	—	—	—	Public bridge (Residents <-> Web)	(F4-02,F4-14,F4-15)
F4	F4-04	Delivery Counter / Стійка доставок	CONTROL	NAV,LOOK,PRESENT(item),HISTORY	—	—	{Use: Courier Seal (T5)} richer “delivery manifests”	Optional payoff	(F4-02)
F4	F4-07	Grand Crossroads / Велике перехрестя	HUB	NAV,LOOK,PASSIVE	—	—	—	Public hub to wings	(F4-02,F4-14,F4-15,F4-20,F4-08)
F4	F4-08	Service Door / Двері в службову зону	GATE	NAV,LOOK	—	—	—	Entry to service spine	(F4-07,F4-08a)
F4	F4-08a	Service Corridor / Службовий коридор	PATH	NAV,LOOK	—	—	—	Service spine	(F4-08,F4-10,F4-11,F4-12,F4-33,F4-42)
F4	F4-10	Service Closet / Техкомірчина	PANEL	NAV,LOOK,PICK	Tool: File Lantern	—	—	—	(F4-08a)
F4	F4-11	Log Gallery / Зала логів	R	NAV,LOOK,PASSIVE,HISTORY,PRESENT(item)	—	—	{Use: Echo Handset (T10)} “listen snippets”	Optional payoff	(F4-08a,F4-09)
F4	F4-09	Quiet Archive Box / Короб архівів	DE	NAV,LOOK	—	—	—	Lore deadend	(F4-11)
F4	F4-12	Config Vault / Сховище конфігів	R	NAV,LOOK,PASSIVE	—	—	{Use: Dungeon Map (T9)} improves hints	Optional payoff	(F4-08a,F4-13,F4-33,F4-36,F4-35)
F4	F4-13	Backup Vault / Сховище беккапів	R	NAV,LOOK,HISTORY	—	—	—	Recon depth	(F4-12)
F4	F4-42	Maintenance Lift / Службовий ліфт	PATH	NAV,LOOK	—	—	—	Service connector	(F4-08a,F4-20,F4-46,F4-33)
F4	F4-33	Config Wing Foyer / Передкімната конфігів	HUB	NAV,LOOK,PASSIVE,HISTORY	—	—	—	Underground/config hub	(F4-08a,F4-42,F4-34,F4-35,F4-36,F4-29)
F4	F4-34	Secrets Alcove / Ніша секретів	R	NAV,LOOK,PASSIVE	—	—	—	Recon	(F4-33)
F4	F4-35	Deployment Shelf / Полиця деплою	R	NAV,LOOK,PRESENT(item),HISTORY	—	—	{Use: Rusty Token (T2)} build notes	Optional payoff	(F4-33)
F4	F4-36	Symlink Hall / Зала “дзеркальних ходів”	EVENT	NAV,LOOK,PRESENT(item)	—	—	{Use: Dungeon Map (T9)} less confusing	Optional payoff	(F4-33,F4-12,F4-42)
# Web Wing
F4	F4-14	Web Wing Hub / Крило веб-служб	HUB	NAV,LOOK,PASSIVE,HISTORY,REPEAT	—	—	—	Public wing hub	(F4-07,F4-54,F4-28,F4-29,F4-31)
F4	F4-28	Static Gallery / Галерея статичних слідів	R	NAV,LOOK,HISTORY	—	—	—	Spider helps (if you keep SCANPATH on some nodes)	Optional synergy	(F4-14)
F4	F4-29	API Antechamber / Передпокій API	CONTROL	NAV,LOOK,REPEAT,HISTORY	—	—	—	Admin bridge to Config	(F4-14,F4-30,F4-32,F4-33)
F4	F4-30	Error Chapel / Каплиця помилок	R	NAV,LOOK,PASSIVE	—	—	—	Passive scanner highlights detail	Optional	(F4-29)
F4	F4-32	Session Ledger / Реєстр сесій	CONTROL	NAV,LOOK,PRESENT(item),HISTORY	—	—	{Use: SECRET_KEY (T4)} signed trust view	Optional payoff	(F4-29)
F4	F4-31	Upload Quarantine / Карантин прийому	DE	NAV,LOOK	—	—	—	Lore deadend	(F4-14)
# Residents Wing
F4	F4-15	Residents Wing Hub / Крило мешканців	HUB	NAV,LOOK,HISTORY	—	—	—	Public wing hub	(F4-07,F4-54,F4-37,F4-39,F4-46)
F4	F4-37	Servant Quarters / Кімнати слуг	PATH	NAV,LOOK,TERMINAL	—	—	—	Server-mode optional exploration	(F4-15,F4-38)
F4	F4-38	Officer Mess / Офіцерська їдальня	SAFE	NAV,LOOK	—	—	—	Calm node	(F4-37,F4-40)
F4	F4-40	Keyring Closet / Комірчина ключника	DE	NAV,LOOK	—	—	—	Lore deadend	(F4-38)
F4	F4-39	Registry Annex / Додаток до реєстру	CONTROL	NAV,LOOK,PRESENT(item),HISTORY	—	—	{Use: Names Scroll (T8)} -> keeper trail	Optional payoff	(F4-15)
F4	F4-46	Keeper Hallway / Коридор keeper	PATH	NAV,LOOK,TERMINAL	—	—	Names Scroll helps discovery	Optional helper	(F4-15,F4-17,F4-18,F4-47,F4-42)
F4	F4-17	Keeper Door / Двері keeper	GATE	NAV,LOOK,TERMINAL	—	—	—	No hard gate; discovery aided by Names Scroll	(F4-46,F4-18)
F4	F4-18	Keeper Quarters / Покої офіцера	TASK	NAV,LOOK,TERMINAL,TASK(flag)	—	T12 Horizontal PrivEsc (Flag)	—	(*) Mandatory	(F4-17,F4-19)
F4	F4-47	History Niche / Ніша історії	R	NAV,LOOK,PRESENT(item),HISTORY	—	—	{Use: Echo Handset (T10)} -> listen snippets	Optional payoff	(F4-46)
# Mechanisms Wing
F4	F4-20	Mechanisms Wing Hub / Крило механізмів	HUB	NAV,LOOK	—	—	—	Public wing hub	(F4-07,F4-45,F4-21,F4-22,F4-41,F4-23,F4-42,F4-19)
F4	F4-45	Quiet Observatory / Тиха обсерваторія	SAFE	NAV,LOOK	—	—	—	Reset node	(F4-20,F4-19)
F4	F4-21	Clockwork Antechamber / Передвежжя	CONTROL	NAV,LOOK,PICK,PANEL	Tool: Process Watch	—	—	—	(F4-20,F4-44,F4-22)
F4	F4-44	Timer Gallery / Галерея розкладів	R	NAV,LOOK,PANEL,HISTORY	—	—	Process Watch synergy	—	(F4-21)
F4	F4-22	Script Workshop / Майстерня скриптів	R	NAV,LOOK,HISTORY	—	—	—	Recon	(F4-20,F4-21,F4-43)
F4	F4-43	Workshop Balcony / Балкон майстерні	R	NAV,LOOK,HISTORY	—	—	—	Recon	(F4-22)
F4	F4-41	Gear Room / Кімната шестерень	R	NAV,LOOK,PANEL	—	—	Process Watch synergy	—	(F4-20)
F4	F4-19	Officer Armory / Офіцерська зброярня	HUB	NAV,LOOK	—	—	Use: Artifact T12 Officer Armor unlocks officer routes	Req: T12 completed	(F4-18,F4-20,F4-22,F4-45)
F4	F4-23	Cron Mechanism Hall / Зала механізмів	PATH	NAV,LOOK,TERMINAL	—	—	{Req: Officer Armor (T12) soft}	Soft gate	(F4-20,F4-24)
F4	F4-24	Clock Tower / Годинникова вежа	TASK	NAV,LOOK,TERMINAL,TASK(flag)	—	T13 Vertical PrivEsc to Root (Flag)	—	(*) Mandatory; Req: T12	(F4-23,F4-25)
F4	F4-25	Crown Chamber / Зала Корони	EVENT	NAV,LOOK	—	—	—	Triggers isolation after T13	(F4-24,F4-27,F4-26,F4-52)
F4	F4-27	Red Alert Hall / Червона тривога	HUB	NAV,LOOK	—	—	—	Leads to isolation gate	(F4-25,F4-51,F4-26,F4-52)
F4	F4-51	Isolation Gate / Ворота ізоляції	GATE	NAV,LOOK	—	—	—	Auto transition to F5	(F4-27,F5-01)
F4	F4-26	Emergency Passage / Аварійний прохід	DE	NAV,LOOK	—	—	—	Lore deadend	(F4-25,F4-27)
F4	F4-52	Emergency Service Exit / Службовий вихід	DE	NAV,LOOK	—	—	—	Deadend during alert	(F4-25,F4-27)

# ───────────────────────────── F5 — ISOLATION (No drops) ─────────────────────
F5	F5-01	Isolated Cell / Ізольована камера	TASK	LOOK,TASK(flag)	—	T14 Docker Escape (Flag/Proof)	—	(*) Mandatory; no drops	(F4-51,F5-02)
F5	F5-02	Control Channel / Канал керування (UI)	SERVER	LOOK	—	—	—	End condition: back to game window	(F5-01,F5-03)
F5	F5-03	Game Window / Вікно гри (Фінал)	DE	LOOK	—	—	—	Game complete	(F5-02)
